['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
27.0 , 4123.58974359 , 4361.53846154 , 3851.79487179 , 4204.61538462 , 4177.43589744 , 4033.33333333 , 4481.02564103 , 4032.30769231 , 4383.07692308 , 4230.25641026 , 4348.71794872 , 4153.84615385 , 4265.64102564 , 4161.02564103 , 1681.0 , 1744.0 , 21.793 , 0.0 , 0.0 , 0.0 , 0.0 , 

28.0 , 4093.84615385 , 4356.41025641 , 3846.66666667 , 4208.20512821 , 4186.15384615 , 4071.28205128 , 4484.61538462 , 4030.25641026 , 4330.76923077 , 4228.71794872 , 4353.84615385 , 4122.05128205 , 4235.8974359 , 4152.82051282 , 1680.0 , 1745.0 , 21.8 , 0.0 , 0.0 , 0.0 , 0.0 , 

29.0 , 4083.07692308 , 4359.48717949 , 3846.15384615 , 4208.20512821 , 4189.23076923 , 4078.97435897 , 4489.74358974 , 4033.84615385 , 4313.84615385 , 4229.74358974 , 4344.61538462 , 4147.69230769 , 4226.15384615 , 4175.38461538 , 1680.0 , 1744.0 , 21.808 , 0.0 , 0.0 , 0.0 , 0.0 , 

30.0 , 4104.61538462 , 4362.56410256 , 3840.51282051 , 4203.58974359 , 4177.43589744 , 4062.05128205 , 4480.51282051 , 4029.74358974 , 4346.15384615 , 4228.71794872 , 4350.76923077 , 4164.1025641 , 4242.05128205 , 4167.17948718 , 1680.0 , 1745.0 , 21.816 , 0.0 , 0.0 , 0.0 , 0.0 , 

31.0 , 4100.0 , 4357.43589744 , 3853.33333333 , 4207.17948718 , 4185.64102564 , 4056.41025641 , 4487.17948718 , 4030.25641026 , 4362.56410256 , 4230.25641026 , 4347.17948718 , 4138.97435897 , 4220.0 , 4157.94871795 , 1681.0 , 1744.0 , 21.824 , 0.0 , 0.0 , 0.0 , 0.0 , 

32.0 , 4118.97435897 , 4356.41025641 , 3846.66666667 , 4202.05128205 , 4180.0 , 4033.84615385 , 4477.43589744 , 4035.8974359 , 4364.61538462 , 4232.30769231 , 4353.33333333 , 4144.61538462 , 4260.0 , 4176.41025641 , 1680.0 , 1744.0 , 21.832 , 0.0 , 0.0 , 0.0 , 0.0 , 

33.0 , 4120.51282051 , 4360.0 , 3843.07692308 , 4202.56410256 , 4176.41025641 , 4074.35897436 , 4472.30769231 , 4031.28205128 , 4351.28205128 , 4228.71794872 , 4362.05128205 , 4157.43589744 , 4232.82051282 , 4152.30769231 , 1680.0 , 1746.0 , 21.84 , 0.0 , 0.0 , 0.0 , 0.0 , 

34.0 , 4076.92307692 , 4354.87179487 , 3855.8974359 , 4207.69230769 , 4188.20512821 , 4093.33333333 , 4486.15384615 , 4035.38461538 , 4338.46153846 , 4229.74358974 , 4348.71794872 , 4154.87179487 , 4198.97435897 , 4175.38461538 , 1680.0 , 1744.0 , 21.847 , 0.0 , 0.0 , 0.0 , 0.0 , 

35.0 , 4102.56410256 , 4364.1025641 , 3833.84615385 , 4200.51282051 , 4180.0 , 4062.05128205 , 4478.46153846 , 4038.46153846 , 4353.33333333 , 4233.84615385 , 4352.30769231 , 4154.35897436 , 4245.12820513 , 4185.12820513 , 1680.0 , 1745.0 , 21.855 , 0.0 , 0.0 , 0.0 , 0.0 , 

36.0 , 4102.56410256 , 4356.41025641 , 3842.56410256 , 4201.53846154 , 4184.61538462 , 4056.41025641 , 4481.02564103 , 4034.35897436 , 4356.41025641 , 4230.76923077 , 4355.38461538 , 4146.66666667 , 4232.30769231 , 4151.28205128 , 1680.0 , 1744.0 , 21.863 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 4100.0 , 4348.71794872 , 3854.35897436 , 4198.97435897 , 4183.07692308 , 4042.56410256 , 4474.35897436 , 4035.38461538 , 4353.84615385 , 4232.82051282 , 4353.84615385 , 4149.23076923 , 4238.97435897 , 4175.38461538 , 1680.0 , 1745.0 , 21.871 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 4123.58974359 , 4365.64102564 , 3840.0 , 4198.46153846 , 4178.46153846 , 4078.46153846 , 4468.20512821 , 4032.82051282 , 4362.05128205 , 4235.8974359 , 4359.48717949 , 4155.8974359 , 4246.66666667 , 4168.71794872 , 1681.0 , 1744.0 , 21.879 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 4073.33333333 , 4350.76923077 , 3845.12820513 , 4203.07692308 , 4188.20512821 , 4120.0 , 4481.53846154 , 4037.94871795 , 4356.92307692 , 4231.79487179 , 4354.87179487 , 4151.28205128 , 4216.92307692 , 4154.35897436 , 1680.0 , 1744.0 , 21.885 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 4075.8974359 , 4354.87179487 , 3831.28205128 , 4197.94871795 , 4181.02564103 , 4077.43589744 , 4473.33333333 , 4042.05128205 , 4354.35897436 , 4230.25641026 , 4354.35897436 , 4156.41025641 , 4232.30769231 , 4171.28205128 , 1681.0 , 1744.0 , 21.894 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 4103.58974359 , 4364.1025641 , 3842.05128205 , 4201.02564103 , 4181.53846154 , 4040.0 , 4475.8974359 , 4035.38461538 , 4354.35897436 , 4231.28205128 , 4354.35897436 , 4150.25641026 , 4232.30769231 , 4160.51282051 , 1680.0 , 1744.0 , 21.902 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 4111.28205128 , 4350.76923077 , 3853.33333333 , 4197.94871795 , 4179.48717949 , 4038.97435897 , 4476.41025641 , 4038.46153846 , 4353.84615385 , 4234.87179487 , 4362.56410256 , 4148.71794872 , 4225.64102564 , 4156.41025641 , 1680.0 , 1744.0 , 21.91 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 4114.87179487 , 4362.05128205 , 3836.41025641 , 4196.41025641 , 4177.43589744 , 4082.56410256 , 4473.84615385 , 4037.43589744 , 4362.05128205 , 4235.38461538 , 4348.20512821 , 4161.02564103 , 4244.1025641 , 4157.43589744 , 1680.0 , 1744.0 , 21.918 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 4070.76923077 , 4356.92307692 , 3842.56410256 , 4204.61538462 , 4187.69230769 , 4106.15384615 , 4482.56410256 , 4037.43589744 , 4363.07692308 , 4231.79487179 , 4323.58974359 , 4158.97435897 , 4233.33333333 , 4152.30769231 , 1680.0 , 1745.0 , 21.926 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 4080.0 , 4355.8974359 , 3840.51282051 , 4198.97435897 , 4181.53846154 , 4073.33333333 , 4472.82051282 , 4047.69230769 , 4365.64102564 , 4234.87179487 , 4344.61538462 , 4161.02564103 , 4228.20512821 , 4154.35897436 , 1681.0 , 1744.0 , 21.933 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 4107.17948718 , 4364.1025641 , 3843.07692308 , 4201.02564103 , 4183.07692308 , 4071.28205128 , 4475.8974359 , 4037.43589744 , 4365.12820513 , 4233.84615385 , 4358.97435897 , 4160.51282051 , 4231.79487179 , 4150.25641026 , 1679.0 , 1745.0 , 21.942 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 4107.17948718 , 4351.28205128 , 3846.15384615 , 4197.94871795 , 4181.02564103 , 4074.35897436 , 4475.38461538 , 4035.38461538 , 4358.46153846 , 4232.82051282 , 4374.87179487 , 4157.43589744 , 4230.25641026 , 4155.38461538 , 1680.0 , 1744.0 , 21.949 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 4109.74358974 , 4356.41025641 , 3839.48717949 , 4191.28205128 , 4175.8974359 , 4055.38461538 , 4468.20512821 , 4045.64102564 , 4370.25641026 , 4235.38461538 , 4346.66666667 , 4167.17948718 , 4242.56410256 , 4150.76923077 , 1680.0 , 1745.0 , 21.957 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 4078.97435897 , 4358.46153846 , 3846.15384615 , 4202.56410256 , 4186.15384615 , 4067.69230769 , 4475.8974359 , 4041.53846154 , 4374.35897436 , 4235.38461538 , 4285.12820513 , 4165.64102564 , 4242.05128205 , 4149.74358974 , 1681.0 , 1744.0 , 21.965 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 4078.46153846 , 4354.35897436 , 3836.92307692 , 4201.02564103 , 4183.07692308 , 4073.33333333 , 4470.25641026 , 4040.51282051 , 4373.84615385 , 4241.02564103 , 4320.51282051 , 4161.53846154 , 4237.43589744 , 4153.33333333 , 1680.0 , 1744.0 , 21.973 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 4097.43589744 , 4356.41025641 , 3840.0 , 4196.41025641 , 4183.07692308 , 4066.66666667 , 4472.30769231 , 4034.35897436 , 4378.46153846 , 4237.43589744 , 4377.94871795 , 4166.66666667 , 4242.56410256 , 4141.53846154 , 1680.0 , 1744.0 , 21.98 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 4098.97435897 , 4349.74358974 , 3849.23076923 , 4199.48717949 , 4185.12820513 , 4069.23076923 , 4473.84615385 , 4029.23076923 , 4365.64102564 , 4231.79487179 , 4391.79487179 , 4167.69230769 , 4240.0 , 4164.61538462 , 1680.0 , 1744.0 , 21.988 , 0.0 , 0.0 , 0.0 , 0.0 , 

