Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q
2.000000	4360.512821	4388.205128	4409.230769	3714.358974	4380.512821	4611.282051	4629.743590	4522.564103	4026.153846	4103.076923	4515.384615	4442.564103	4268.717949	3959.487179	1735.000000	1678.000000	150.224000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.000000	4357.948718	4389.230769	4405.128205	3714.358974	4382.051282	4610.256410	4631.282051	4523.589744	4027.179487	4103.076923	4518.461538	4441.538462	4266.666667	3962.051282	1734.000000	1677.000000	150.232000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.000000	4354.871795	4389.230769	4402.564103	3710.769231	4383.589744	4611.282051	4629.743590	4522.051282	4026.153846	4103.589744	4518.974359	4441.538462	4265.641026	3961.538462	1735.000000	1677.000000	150.244000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.000000	4357.948718	4388.717949	4407.692308	3710.256410	4381.025641	4611.282051	4628.717949	4523.076923	4029.743590	4100.512821	4514.358974	4443.076923	4266.666667	3959.487179	1735.000000	1678.000000	150.248000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6.000000	4361.538462	4388.717949	4410.256410	3711.282051	4380.512821	4610.769231	4628.717949	4526.153846	4031.282051	4102.051282	4516.923077	4444.102564	4268.205128	3963.589744	1735.000000	1678.000000	150.256000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.000000	4360.512821	4387.692308	4408.205128	3711.282051	4383.589744	4611.794872	4629.743590	4525.128205	4022.564103	4104.102564	4518.461538	4443.076923	4268.717949	3964.102564	1734.000000	1677.000000	150.264000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8.000000	4360.512821	4388.205128	4407.692308	3713.333333	4384.102564	4612.307692	4629.743590	4522.051282	4020.512821	4103.076923	4516.923077	4439.487179	4270.256410	3963.589744	1735.000000	1678.000000	150.272000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9.000000	4361.025641	4388.717949	4409.230769	3714.358974	4381.538462	4613.333333	4630.256410	4522.051282	4026.666667	4103.076923	4516.923077	4441.025641	4269.230769	3961.538462	1735.000000	1677.000000	150.280000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10.000000	4357.948718	4388.717949	4409.230769	3712.820513	4381.025641	4613.333333	4629.743590	4524.615385	4028.205128	4103.589744	4520.000000	4444.615385	4268.717949	3963.589744	1735.000000	1678.000000	150.288000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11.000000	4356.410256	4389.230769	4408.205128	3712.820513	4384.102564	4610.769231	4630.769231	4525.128205	4025.128205	4103.589744	4519.487179	4443.076923	4269.230769	3962.564103	1736.000000	1677.000000	150.296000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12.000000	4358.461538	4390.769231	4407.179487	3712.307692	4384.102564	4608.205128	4631.794872	4525.128205	4025.128205	4104.615385	4516.923077	4440.512821	4269.743590	3958.974359	1734.000000	1677.000000	150.304000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.000000	4357.435897	4389.230769	4408.717949	3711.794872	4382.051282	4609.743590	4632.307692	4525.641026	4026.153846	4104.102564	4517.435897	4443.076923	4269.743590	3959.487179	1735.000000	1678.000000	150.312000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.000000	4356.410256	4387.692308	4412.307692	3712.820513	4381.538462	4610.256410	4630.769231	4522.564103	4025.128205	4102.051282	4520.512821	4443.589744	4268.717949	3962.564103	1735.000000	1677.000000	150.320000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15.000000	4358.974359	4389.230769	4410.769231	3711.794872	4382.564103	4610.256410	4627.692308	4522.564103	4026.666667	4100.512821	4519.487179	4440.512821	4268.205128	3962.051282	1736.000000	1678.000000	150.320000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16.000000	4360.512821	4389.743590	4404.615385	3711.282051	4382.051282	4613.333333	4626.666667	4526.666667	4027.692308	4100.000000	4515.897436	4442.051282	4267.692308	3961.538462	1735.000000	1677.000000	150.335000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.000000	4357.948718	4387.692308	4404.102564	3713.333333	4382.051282	4612.307692	4628.205128	4525.641026	4027.179487	4102.564103	4517.435897	4443.589744	4267.179487	3963.076923	1735.000000	1678.000000	150.335000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18.000000	4355.897436	4387.179487	4409.230769	3713.333333	4383.589744	4608.717949	4630.256410	4521.538462	4030.769231	4104.102564	4520.000000	4441.538462	4267.179487	3959.487179	1735.000000	1677.000000	150.351000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19.000000	4358.974359	4388.205128	4408.717949	3711.282051	4384.102564	4609.230769	4631.282051	4522.051282	4030.256410	4102.564103	4520.000000	4440.000000	4269.743590	3960.512821	1736.000000	1678.000000	150.351000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
