Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL
66.000000	4349.230769	4396.923077	4408.717949	3710.256410	4384.615385	4614.871795	4631.282051	4526.153846	4026.666667	4103.076923	4514.871795	4444.615385	4250.256410	3943.076923	1741.000000	1676.000000	45.810000	0.000000	0.000000	0.000000	0.000000
67.000000	4352.307692	4403.076923	4410.769231	3713.333333	4384.615385	4614.871795	4631.794872	4524.102564	4026.666667	4103.076923	4521.025641	4442.051282	4250.256410	3949.743590	1742.000000	1675.000000	45.810000	0.000000	0.000000	0.000000	0.000000
68.000000	4361.538462	4410.769231	4409.743590	3719.487179	4384.615385	4614.871795	4631.794872	4523.076923	4024.102564	4103.076923	4514.871795	4436.410256	4250.256410	3960.000000	1740.000000	1676.000000	45.826000	0.000000	0.000000	0.000000	0.000000
69.000000	4365.128205	4413.846154	4400.512821	3723.589744	4383.589744	4614.871795	4630.256410	4522.564103	4024.102564	4103.076923	4508.205128	4431.794872	4250.256410	3956.923077	1740.000000	1676.000000	45.826000	0.000000	0.000000	0.000000	0.000000
70.000000	4355.897436	4404.615385	4398.461538	3719.487179	4383.076923	4614.871795	4630.256410	4524.615385	4024.102564	4103.076923	4510.769231	4436.923077	4250.256410	3946.666667	1740.000000	1676.000000	45.842000	0.000000	0.000000	0.000000	0.000000
71.000000	4343.076923	4391.794872	4412.820513	3707.692308	4383.076923	4614.871795	4633.846154	4526.153846	4024.615385	4103.076923	4510.769231	4447.179487	4250.256410	3944.615385	1740.000000	1676.000000	45.842000	0.000000	0.000000	0.000000	0.000000
72.000000	4363.076923	4414.358974	4409.743590	3716.410256	4381.538462	4614.871795	4628.205128	4522.051282	4024.102564	4103.076923	4505.641026	4438.461538	4250.256410	3961.538462	1741.000000	1676.000000	45.857000	0.000000	0.000000	0.000000	0.000000
73.000000	4391.794872	4442.051282	4386.153846	3743.076923	4380.512821	4614.871795	4615.384615	4517.948718	4021.538462	4103.076923	4506.153846	4421.025641	4250.256410	3975.897436	1741.000000	1677.000000	45.863000	0.000000	0.000000	0.000000	0.000000
74.000000	4378.461538	4423.589744	4385.128205	3741.538462	4382.051282	4614.871795	4616.410256	4520.512821	4022.051282	4103.076923	4508.717949	4426.153846	4250.256410	3964.102564	1741.000000	1676.000000	45.863000	0.000000	0.000000	0.000000	0.000000
75.000000	4350.256410	4396.923077	4402.051282	3713.846154	4383.589744	4615.384615	4630.256410	4524.615385	4026.666667	4103.076923	4506.666667	4441.538462	4250.256410	3950.256410	1740.000000	1677.000000	45.879000	0.000000	0.000000	0.000000	0.000000
76.000000	4355.384615	4405.641026	4402.051282	3712.820513	4382.564103	4613.846154	4632.307692	4521.025641	4026.666667	4103.076923	4507.179487	4438.461538	4250.256410	3956.923077	1741.000000	1676.000000	45.879000	0.000000	0.000000	0.000000	0.000000
77.000000	4357.435897	4402.051282	4401.538462	3719.487179	4384.102564	4614.871795	4630.256410	4521.538462	4024.615385	4103.076923	4516.410256	4438.974359	4250.256410	3955.897436	1739.000000	1677.000000	45.894000	0.000000	0.000000	0.000000	0.000000
78.000000	4329.230769	4372.820513	4420.000000	3693.846154	4388.717949	4615.384615	4638.974359	4535.384615	4028.205128	4103.076923	4524.615385	4458.974359	4250.256410	3934.871795	1741.000000	1676.000000	45.894000	0.000000	0.000000	0.000000	0.000000
79.000000	4328.205128	4379.487179	4424.102564	3682.564103	4388.717949	4609.230769	4640.512821	4536.410256	4028.717949	4103.076923	4520.512821	4461.538462	4250.256410	3931.794872	1739.000000	1677.000000	45.910000	0.000000	0.000000	0.000000	0.000000
80.000000	4353.333333	4404.102564	4411.794872	3704.102564	4384.102564	4600.000000	4632.307692	4524.102564	4026.153846	4103.076923	4510.256410	4444.615385	4250.256410	3951.282051	1740.000000	1678.000000	45.910000	0.000000	0.000000	0.000000	0.000000
81.000000	4359.487179	4407.692308	4411.282051	3716.410256	4382.051282	4601.025641	4630.769231	4522.051282	4025.128205	4103.076923	4508.717949	4441.025641	4250.256410	3958.974359	1740.000000	1677.000000	45.926000	0.000000	0.000000	0.000000	0.000000
82.000000	4360.512821	4410.256410	4410.256410	3717.435897	4383.076923	4611.282051	4631.794872	4524.102564	4023.589744	4103.076923	4511.282051	4440.512821	4250.256410	3957.435897	1741.000000	1678.000000	45.926000	0.000000	0.000000	0.000000	0.000000
