['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
96.0 , 4481.02564103 , 4388.20512821 , 4429.23076923 , 3669.74358974 , 4383.07692308 , 4498.97435897 , 4492.82051282 , 4587.69230769 , 3924.1025641 , 4105.64102564 , 4252.82051282 , 4314.35897436 , 3978.46153846 , 4004.1025641 , 1725.0 , 1678.0 , 1.234 , 0.0 , 0.0 , 0.0 , 0.0 , 

97.0 , 4489.74358974 , 4388.20512821 , 4431.79487179 , 3673.84615385 , 4383.07692308 , 4498.97435897 , 4495.8974359 , 4588.20512821 , 3929.23076923 , 4105.64102564 , 4253.84615385 , 4312.30769231 , 3983.58974359 , 4001.02564103 , 1727.0 , 1677.0 , 1.234 , 0.0 , 0.0 , 0.0 , 0.0 , 

98.0 , 4492.30769231 , 4388.20512821 , 4428.71794872 , 3667.17948718 , 4382.56410256 , 4502.05128205 , 4496.92307692 , 4588.20512821 , 3927.17948718 , 4105.64102564 , 4252.82051282 , 4308.20512821 , 3981.53846154 , 4003.58974359 , 1726.0 , 1678.0 , 1.25 , 0.0 , 0.0 , 0.0 , 0.0 , 

99.0 , 4496.92307692 , 4388.20512821 , 4429.23076923 , 3665.12820513 , 4382.05128205 , 4505.12820513 , 4501.53846154 , 4590.76923077 , 3929.74358974 , 4105.64102564 , 4254.35897436 , 4311.28205128 , 3982.05128205 , 4012.30769231 , 1728.0 , 1678.0 , 1.25 , 0.0 , 0.0 , 0.0 , 0.0 , 

100.0 , 4495.38461538 , 4388.20512821 , 4430.76923077 , 3668.20512821 , 4383.58974359 , 4500.51282051 , 4498.97435897 , 4588.20512821 , 3927.17948718 , 4105.64102564 , 4254.35897436 , 4312.30769231 , 3984.1025641 , 4013.84615385 , 1728.0 , 1677.0 , 1.265 , 0.0 , 0.0 , 0.0 , 0.0 , 

101.0 , 4488.71794872 , 4388.20512821 , 4427.17948718 , 3665.64102564 , 4384.61538462 , 4498.97435897 , 4492.30769231 , 4582.05128205 , 3917.94871795 , 4105.64102564 , 4251.79487179 , 4309.74358974 , 3980.0 , 4008.71794872 , 1728.0 , 1678.0 , 1.265 , 0.0 , 0.0 , 0.0 , 0.0 , 

102.0 , 4491.79487179 , 4388.20512821 , 4426.66666667 , 3666.15384615 , 4383.07692308 , 4504.1025641 , 4497.94871795 , 4588.71794872 , 3927.17948718 , 4105.64102564 , 4253.84615385 , 4310.25641026 , 3982.56410256 , 4006.15384615 , 1728.0 , 1678.0 , 1.281 , 0.0 , 0.0 , 0.0 , 0.0 , 

103.0 , 4497.94871795 , 4388.20512821 , 4430.76923077 , 3672.82051282 , 4382.56410256 , 4504.61538462 , 4505.64102564 , 4596.41025641 , 3940.0 , 4105.64102564 , 4254.35897436 , 4312.30769231 , 3988.20512821 , 4008.20512821 , 1729.0 , 1677.0 , 1.296 , 0.0 , 0.0 , 0.0 , 0.0 , 

104.0 , 4500.51282051 , 4388.20512821 , 4431.28205128 , 3673.33333333 , 4385.12820513 , 4505.12820513 , 4504.1025641 , 4592.30769231 , 3940.0 , 4105.64102564 , 4250.76923077 , 4311.79487179 , 3985.64102564 , 4013.33333333 , 1727.0 , 1678.0 , 1.296 , 0.0 , 0.0 , 0.0 , 0.0 , 

105.0 , 4486.66666667 , 4388.20512821 , 4429.74358974 , 3666.66666667 , 4386.66666667 , 4510.25641026 , 4498.97435897 , 4587.17948718 , 3938.46153846 , 4105.64102564 , 4251.28205128 , 4311.79487179 , 3982.05128205 , 4013.33333333 , 1728.0 , 1677.0 , 1.296 , 0.0 , 0.0 , 0.0 , 0.0 , 

106.0 , 4471.79487179 , 4388.20512821 , 4430.76923077 , 3667.17948718 , 4385.64102564 , 4509.74358974 , 4499.48717949 , 4589.74358974 , 3944.1025641 , 4105.64102564 , 4252.82051282 , 4313.33333333 , 3983.58974359 , 4006.66666667 , 1727.0 , 1677.0 , 1.312 , 0.0 , 0.0 , 0.0 , 0.0 , 

107.0 , 4486.66666667 , 4388.20512821 , 4427.69230769 , 3669.74358974 , 4386.15384615 , 4502.05128205 , 4495.8974359 , 4590.76923077 , 3944.61538462 , 4105.64102564 , 4252.82051282 , 4312.30769231 , 3983.58974359 , 4005.12820513 , 1727.0 , 1678.0 , 1.312 , 0.0 , 0.0 , 0.0 , 0.0 , 

108.0 , 4492.82051282 , 4388.20512821 , 4421.02564103 , 3666.66666667 , 4385.12820513 , 4504.1025641 , 4489.23076923 , 4584.61538462 , 3936.41025641 , 4105.64102564 , 4254.35897436 , 4311.28205128 , 3978.46153846 , 4011.79487179 , 1727.0 , 1677.0 , 1.328 , 0.0 , 0.0 , 0.0 , 0.0 , 

109.0 , 4475.8974359 , 4388.20512821 , 4418.46153846 , 3661.02564103 , 4383.07692308 , 4506.66666667 , 4485.12820513 , 4581.53846154 , 3929.23076923 , 4105.64102564 , 4253.84615385 , 4310.76923077 , 3973.84615385 , 4009.23076923 , 1725.0 , 1678.0 , 1.328 , 0.0 , 0.0 , 0.0 , 0.0 , 

110.0 , 4476.41025641 , 4388.20512821 , 4422.05128205 , 3665.64102564 , 4382.05128205 , 4501.53846154 , 4487.69230769 , 4585.64102564 , 3929.23076923 , 4105.64102564 , 4252.82051282 , 4312.82051282 , 3977.43589744 , 3998.46153846 , 1725.0 , 1678.0 , 1.343 , 0.0 , 0.0 , 0.0 , 0.0 , 

111.0 , 4481.53846154 , 4388.20512821 , 4423.07692308 , 3669.74358974 , 4382.05128205 , 4499.48717949 , 4493.33333333 , 4588.20512821 , 3932.30769231 , 4105.64102564 , 4257.94871795 , 4314.87179487 , 3984.1025641 , 3999.48717949 , 1725.0 , 1678.0 , 1.343 , 0.0 , 0.0 , 0.0 , 0.0 , 

112.0 , 4474.87179487 , 4388.20512821 , 4417.94871795 , 3661.02564103 , 4383.07692308 , 4501.02564103 , 4490.25641026 , 4583.07692308 , 3931.28205128 , 4105.64102564 , 4258.97435897 , 4313.33333333 , 3979.48717949 , 4007.17948718 , 1725.0 , 1676.0 , 1.359 , 0.0 , 0.0 , 0.0 , 0.0 , 

113.0 , 4478.97435897 , 4388.20512821 , 4417.43589744 , 3658.97435897 , 4385.12820513 , 4497.94871795 , 4485.64102564 , 4580.0 , 3928.20512821 , 4106.66666667 , 4252.82051282 , 4310.76923077 , 3972.30769231 , 4006.66666667 , 1724.0 , 1676.0 , 1.359 , 0.0 , 0.0 , 0.0 , 0.0 , 

114.0 , 4489.23076923 , 4388.20512821 , 4422.05128205 , 3665.12820513 , 4386.15384615 , 4499.48717949 , 4491.28205128 , 4582.56410256 , 3926.15384615 , 4106.15384615 , 4252.82051282 , 4311.28205128 , 3973.84615385 , 4002.56410256 , 1725.0 , 1675.0 , 1.375 , 0.0 , 0.0 , 0.0 , 0.0 , 

115.0 , 4485.64102564 , 4387.69230769 , 4425.12820513 , 3663.58974359 , 4385.12820513 , 4509.74358974 , 4499.48717949 , 4584.1025641 , 3927.69230769 , 4104.1025641 , 4256.92307692 , 4311.79487179 , 3980.51282051 , 4000.51282051 , 1725.0 , 1677.0 , 1.375 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 4472.82051282 , 4386.15384615 , 4424.1025641 , 3659.48717949 , 4382.56410256 , 4509.23076923 , 4498.46153846 , 4585.64102564 , 3930.76923077 , 4103.07692308 , 4256.41025641 , 4309.74358974 , 3981.53846154 , 4001.02564103 , 1726.0 , 1676.0 , 1.391 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 4467.17948718 , 4384.61538462 , 4418.97435897 , 3664.61538462 , 4381.53846154 , 4504.1025641 , 4495.8974359 , 4587.17948718 , 3931.28205128 , 4104.1025641 , 4255.8974359 , 4311.28205128 , 3981.53846154 , 4006.66666667 , 1725.0 , 1676.0 , 1.391 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 4465.64102564 , 4386.66666667 , 4412.82051282 , 3666.66666667 , 4382.56410256 , 4503.58974359 , 4493.84615385 , 4581.53846154 , 3924.1025641 , 4104.61538462 , 4255.38461538 , 4312.30769231 , 3976.41025641 , 4006.15384615 , 1726.0 , 1677.0 , 1.406 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 4473.33333333 , 4389.74358974 , 4415.8974359 , 3661.02564103 , 4383.07692308 , 4506.66666667 , 4491.28205128 , 4576.41025641 , 3918.97435897 , 4104.1025641 , 4252.82051282 , 4310.25641026 , 3969.74358974 , 3999.48717949 , 1726.0 , 1676.0 , 1.406 , 0.0 , 0.0 , 0.0 , 0.0 , 

120.0 , 4479.48717949 , 4389.74358974 , 4418.46153846 , 3659.48717949 , 4383.07692308 , 4508.20512821 , 4491.28205128 , 4580.0 , 3921.53846154 , 4104.1025641 , 4252.30769231 , 4308.71794872 , 3969.74358974 , 4001.53846154 , 1725.0 , 1677.0 , 1.422 , 0.0 , 0.0 , 0.0 , 0.0 , 

121.0 , 4472.82051282 , 4388.71794872 , 4415.8974359 , 3665.12820513 , 4384.1025641 , 4512.30769231 , 4493.84615385 , 4584.1025641 , 3928.20512821 , 4104.61538462 , 4254.35897436 , 4312.30769231 , 3972.30769231 , 4007.69230769 , 1727.0 , 1676.0 , 1.422 , 0.0 , 0.0 , 0.0 , 0.0 , 

122.0 , 4470.76923077 , 4389.23076923 , 4418.46153846 , 3669.74358974 , 4382.56410256 , 4515.8974359 , 4496.41025641 , 4584.1025641 , 3929.74358974 , 4104.61538462 , 4252.82051282 , 4313.33333333 , 3968.20512821 , 4004.1025641 , 1726.0 , 1676.0 , 1.438 , 0.0 , 0.0 , 0.0 , 0.0 , 

