['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
55.0 , 4497.94871795 , 3960.51282051 , 4331.79487179 , 4365.64102564 , 4241.53846154 , 4051.79487179 , 4200.51282051 , 4149.74358974 , 4263.58974359 , 4525.64102564 , 4358.97435897 , 3882.56410256 , 4377.43589744 , 4002.05128205 , 1716.0 , 1680.0 , 4.367 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 4507.17948718 , 3958.46153846 , 4317.43589744 , 4371.28205128 , 4228.20512821 , 4047.17948718 , 4195.8974359 , 4146.66666667 , 4262.05128205 , 4525.64102564 , 4366.15384615 , 3881.02564103 , 4372.82051282 , 4000.51282051 , 1719.0 , 1680.0 , 4.375 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 4510.76923077 , 3953.84615385 , 4315.38461538 , 4372.82051282 , 4214.35897436 , 4037.94871795 , 4190.25641026 , 4149.23076923 , 4262.56410256 , 4525.64102564 , 4366.15384615 , 3857.94871795 , 4371.28205128 , 3994.87179487 , 1721.0 , 1681.0 , 4.383 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 4511.79487179 , 3951.79487179 , 4326.66666667 , 4371.79487179 , 4214.35897436 , 4036.41025641 , 4189.74358974 , 4149.74358974 , 4263.58974359 , 4525.64102564 , 4364.61538462 , 3854.87179487 , 4373.84615385 , 3995.8974359 , 1722.0 , 1682.0 , 4.39 , 0.0 , 0.0 , 0.0 , 0.0 , 

59.0 , 4503.58974359 , 3945.12820513 , 4323.07692308 , 4383.58974359 , 4218.97435897 , 4035.38461538 , 4189.74358974 , 4152.82051282 , 4265.12820513 , 4525.64102564 , 4370.76923077 , 3878.97435897 , 4375.38461538 , 3997.43589744 , 1722.0 , 1680.0 , 4.399 , 0.0 , 0.0 , 0.0 , 0.0 , 

60.0 , 4490.76923077 , 3938.46153846 , 4326.15384615 , 4398.97435897 , 4221.02564103 , 4025.64102564 , 4190.25641026 , 4161.53846154 , 4265.64102564 , 4525.64102564 , 4370.76923077 , 3891.28205128 , 4373.84615385 , 3997.43589744 , 1718.0 , 1680.0 , 4.407 , 0.0 , 0.0 , 0.0 , 0.0 , 

61.0 , 4494.87179487 , 3954.87179487 , 4340.0 , 4397.94871795 , 4217.94871795 , 4019.48717949 , 4184.61538462 , 4161.53846154 , 4264.61538462 , 4526.15384615 , 4360.0 , 3862.05128205 , 4373.33333333 , 4001.53846154 , 1718.0 , 1679.0 , 4.415 , 0.0 , 0.0 , 0.0 , 0.0 , 

62.0 , 4503.58974359 , 3966.66666667 , 4351.79487179 , 4406.66666667 , 4197.43589744 , 4000.51282051 , 4177.43589744 , 4154.87179487 , 4265.64102564 , 4526.66666667 , 4355.8974359 , 3845.64102564 , 4374.87179487 , 4012.30769231 , 1715.0 , 1678.0 , 4.421 , 0.0 , 0.0 , 0.0 , 0.0 , 

63.0 , 4513.84615385 , 3975.8974359 , 4350.76923077 , 4426.66666667 , 4177.94871795 , 3982.56410256 , 4169.74358974 , 4146.66666667 , 4266.66666667 , 4525.64102564 , 4358.46153846 , 3845.12820513 , 4373.33333333 , 4022.56410256 , 1714.0 , 1679.0 , 4.429 , 0.0 , 0.0 , 0.0 , 0.0 , 

64.0 , 4525.12820513 , 3983.58974359 , 4345.64102564 , 4423.58974359 , 4183.07692308 , 3982.56410256 , 4167.69230769 , 4144.1025641 , 4264.1025641 , 4526.15384615 , 4356.92307692 , 3843.58974359 , 4370.76923077 , 4024.61538462 , 1713.0 , 1679.0 , 4.437 , 0.0 , 0.0 , 0.0 , 0.0 , 

65.0 , 4516.41025641 , 3981.02564103 , 4339.48717949 , 4403.07692308 , 4207.17948718 , 4004.1025641 , 4177.94871795 , 4146.15384615 , 4262.56410256 , 4524.61538462 , 4354.87179487 , 3847.69230769 , 4372.30769231 , 4014.35897436 , 1711.0 , 1681.0 , 4.445 , 0.0 , 0.0 , 0.0 , 0.0 , 

66.0 , 4489.23076923 , 3964.1025641 , 4337.94871795 , 4381.53846154 , 4231.28205128 , 4031.28205128 , 4196.92307692 , 4147.69230769 , 4264.1025641 , 4521.53846154 , 4359.48717949 , 3867.69230769 , 4377.43589744 , 4002.56410256 , 1712.0 , 1683.0 , 4.453 , 0.0 , 0.0 , 0.0 , 0.0 , 

67.0 , 4486.66666667 , 3953.84615385 , 4329.23076923 , 4357.43589744 , 4257.43589744 , 4054.87179487 , 4206.15384615 , 4148.20512821 , 4265.12820513 , 4521.02564103 , 4361.53846154 , 3875.38461538 , 4376.92307692 , 3997.94871795 , 1711.0 , 1687.0 , 4.462 , 0.0 , 0.0 , 0.0 , 0.0 , 

68.0 , 4504.61538462 , 3947.17948718 , 4317.43589744 , 4343.58974359 , 4270.25641026 , 4055.38461538 , 4204.61538462 , 4148.20512821 , 4263.58974359 , 4521.53846154 , 4358.46153846 , 3877.94871795 , 4376.41025641 , 4002.05128205 , 1714.0 , 1691.0 , 4.468 , 0.0 , 0.0 , 0.0 , 0.0 , 

69.0 , 4508.71794872 , 3949.74358974 , 4320.51282051 , 4358.97435897 , 4254.35897436 , 4038.97435897 , 4201.02564103 , 4144.1025641 , 4263.58974359 , 4521.53846154 , 4355.8974359 , 3878.46153846 , 4376.92307692 , 4010.25641026 , 1717.0 , 1693.0 , 4.476 , 0.0 , 0.0 , 0.0 , 0.0 , 

70.0 , 4507.17948718 , 3969.74358974 , 4330.76923077 , 4385.12820513 , 4220.51282051 , 4024.61538462 , 4190.76923077 , 4144.1025641 , 4264.61538462 , 4523.07692308 , 4357.94871795 , 3865.64102564 , 4374.87179487 , 4016.92307692 , 1720.0 , 1696.0 , 4.484 , 0.0 , 0.0 , 0.0 , 0.0 , 

71.0 , 4519.48717949 , 3989.23076923 , 4335.38461538 , 4395.38461538 , 4183.58974359 , 4013.33333333 , 4179.48717949 , 4150.76923077 , 4263.58974359 , 4526.15384615 , 4358.97435897 , 3853.84615385 , 4371.79487179 , 4013.33333333 , 1720.0 , 1696.0 , 4.492 , 0.0 , 0.0 , 0.0 , 0.0 , 

72.0 , 4539.48717949 , 3992.82051282 , 4328.20512821 , 4393.33333333 , 4161.02564103 , 4002.05128205 , 4170.25641026 , 4151.28205128 , 4263.07692308 , 4526.15384615 , 4358.97435897 , 3853.84615385 , 4373.84615385 , 4010.25641026 , 1719.0 , 1699.0 , 4.501 , 0.0 , 0.0 , 0.0 , 0.0 , 

73.0 , 4533.84615385 , 3983.07692308 , 4327.69230769 , 4392.82051282 , 4173.33333333 , 4004.1025641 , 4172.30769231 , 4150.76923077 , 4265.12820513 , 4525.64102564 , 4361.53846154 , 3858.46153846 , 4372.82051282 , 4013.33333333 , 1716.0 , 1699.0 , 4.507 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4509.23076923 , 3973.33333333 , 4335.38461538 , 4395.38461538 , 4203.07692308 , 4019.48717949 , 4181.53846154 , 4152.30769231 , 4266.15384615 , 4526.15384615 , 4362.56410256 , 3857.43589744 , 4370.25641026 , 4013.33333333 , 1713.0 , 1701.0 , 4.515 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4490.25641026 , 3958.46153846 , 4341.02564103 , 4395.38461538 , 4218.46153846 , 4028.71794872 , 4192.30769231 , 4154.87179487 , 4264.1025641 , 4526.15384615 , 4361.02564103 , 3867.17948718 , 4370.25641026 , 4008.71794872 , 1713.0 , 1697.0 , 4.523 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4477.94871795 , 3948.20512821 , 4333.84615385 , 4392.82051282 , 4229.23076923 , 4042.56410256 , 4196.41025641 , 4155.8974359 , 4264.1025641 , 4526.15384615 , 4358.97435897 , 3875.38461538 , 4372.30769231 , 4004.1025641 , 1713.0 , 1695.0 , 4.532 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4471.79487179 , 3946.15384615 , 4334.87179487 , 4391.28205128 , 4232.30769231 , 4047.69230769 , 4197.43589744 , 4151.28205128 , 4264.1025641 , 4526.15384615 , 4357.94871795 , 3874.35897436 , 4375.38461538 , 4001.53846154 , 1715.0 , 1691.0 , 4.54 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4489.23076923 , 3955.38461538 , 4333.33333333 , 4386.15384615 , 4227.17948718 , 4039.48717949 , 4195.8974359 , 4142.56410256 , 4263.07692308 , 4526.15384615 , 4357.94871795 , 3866.66666667 , 4375.8974359 , 4003.58974359 , 1714.0 , 1689.0 , 4.548 , 0.0 , 0.0 , 0.0 , 0.0 , 

